code,course,semester,campus,days,type,instructor
BU.232.701 (F2),Investments,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,K. Cheong
BU.232.701 (F3),Investments,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,G. De Nicolo
BU.232.701 (F6),Investments,Spring 2021,Off site (Not JHU),M 7:00AM - 10:00AM; M 8:00AM - 11:00AM,Open,K. Yook
BU.232.701 (W2),Investments,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,K. Cheong
BU.232.701 (W3),Investments,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,S. Lamichhane
BU.232.710 (32),Derivatives,Spring 2021,Online,,Open,A. Balana
BU.232.710 (89),Derivatives,Spring 2021,Downtown Baltimore,Th 6:00PM - 9:00PM,Open,A. Balana
BU.232.710 (F4),Derivatives,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Waitlist Only,W. Li
BU.232.710 (F8),Derivatives,Spring 2021,Off site (Not JHU),M 7:00AM - 10:00AM; M 8:00AM - 11:00AM,Open,W. Li
BU.232.710 (W4),Derivatives,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Waitlist Only,W. Li
BU.232.720 (32),Fixed Income,Spring 2021,Online,,Open,A. Ajakh
BU.232.720 (F3),Fixed Income,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,A. Ajakh
BU.232.720 (F4),Fixed Income,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Waitlist Only,A. Ajakh
BU.232.720 (F6),Fixed Income,Spring 2021,Off site (Not JHU),M 8:00AM - 11:00AM,Open,X. Hu
BU.232.720 (F8),Fixed Income,Spring 2021,Off site (Not JHU),T 7:00AM - 10:00AM; T 8:00AM - 11:00AM,Open,X. Hu
BU.232.720 (W3),Fixed Income,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,A. Ajakh
BU.232.720 (W4),Fixed Income,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,A. Ajakh
BU.232.730 (32),Wealth Management,Spring 2021,Online,,Open,J. Liew
BU.232.730 (33),Wealth Management,Spring 2021,Online,,Open,J. Liew
BU.233.730 (31),Entrepreneurial Finance,Spring 2021,Online,,Open,J. Liew
BU.233.730 (81),Entrepreneurial Finance,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,C. Wyskiel
BU.234.610 (52),Real Estate and Infrastructure Finance,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,L. Quintero
BU.234.610 (53),Real Estate and Infrastructure Finance,Spring 2021,Washington DC Center,Th 6:00PM - 9:00PM,Open,L. Quintero
BU.241.610 (52),Real Estate Investment and Development,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,G. Parker
BU.241.725 (81),Global Perspectives in Real Estate,Spring 2021,Downtown Baltimore,T 6:00PM - 9:00PM,Open,P. Loungani
BU.241.735 (81),Infrastructure Development for Sustainable Cities,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Open,L. Quintero
BU.241.740 (51),Project Finance and Public-Private Infrastructure Delivery,Spring 2021,Washington DC Center,T 6:00PM - 9:00PM,Open,J. Hooke
BU.241.740 (R1),Project Finance and Public-Private Infrastructure Delivery,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,J. Hooke
BU.241.770 (51),Smart Growth; Infrastructure and Real Estate Development,Spring 2021,Washington DC Center,W 6:00PM - 9:00PM,Open,P. Glendening
BU.242.701 (51),Real Estate Investment Trusts: Analysis and Structuring,Spring 2021,Washington DC Center,Th 6:00PM - 9:00PM,Open,D. Fick
BU.242.710 (51),Real Estate Funds and Portfolio Management,Spring 2021,Washington DC Center,Th 6:00PM - 9:00PM,Open,J. Fisher
BU.242.715 (51),Real Estate and Infrastructure Valuation,Spring 2021,Washington DC Center,Th 6:00PM - 9:00PM,Open,r. Parli
BU.242.720 (51),Real Estate Capital Market Analysis,Spring 2021,Washington DC Center,T 6:00PM - 9:00PM,Open,K. Fu
BU.242.720 (R1),Real Estate Capital Market Analysis,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,K. Fu
BU.245.790 (82),Real Estate and Infrastructure Capstone,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Open,L. Thompson
BU.300.620 (32),Managing Complex Projects,Spring 2021,Online,,Open,R. Djavanshir
BU.300.620 (33),Managing Complex Projects,Spring 2021,Online,,Open,R. Djavanshir
BU.300.620 (X4),Managing Complex Projects,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,W. Agresti
BU.300.700 (T1),Developing Internet Systems and Services,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,J. Demasco
BU.330.705 (T1),Data Networks: Infrastructures & Emerging Technologies,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,R. Djavanshir
BU.330.705 (T2),Data Networks: Infrastructures & Emerging Technologies,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,R. Djavanshir
BU.330.740 (T2),Large Scale Computing with Hadoop,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,M. Xu
BU.330.760 (T1),Deep Learning with Unstructured Data,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,M. Xu
BU.330.770 (T1),Database Management,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,C. Jung
BU.330.780 (T1),Data Science and Business Intelligence,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,C. Jung
BU.330.780 (T2),Data Science and Business Intelligence,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,C. Jung
BU.330.780 (X2),Data Science and Business Intelligence,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,C. Jung
BU.330.780 (X4),Data Science and Business Intelligence,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,C. Jung
BU.330.790 (T1),Applied IS Architecture,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,M. Vogel
BU.350.620 (30),Information Systems,Spring 2021,Online,,Open,J. Abed
BU.350.620 (31),Information Systems,Spring 2021,Online,,Open,J. Abed
BU.350.620 (36),Information Systems,Spring 2021,Online,,Open,D. Harper
BU.350.620 (37),Information Systems,Spring 2021,Online,,Open,D. Harper
BU.350.620 (38),Information Systems,Spring 2021,Online,,Open,J. Abed
BU.350.620 (39),Information Systems,Spring 2021,Online,,Open,J. Abed
BU.350.620 (52),Information Systems,Spring 2021,Washington DC Center,Th 6:00PM - 9:00PM,Open,I. Bojanova
BU.350.620 (83),Information Systems,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Reserved Open,J. Gray
BU.350.620 (T2),Information Systems,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,M. Vogel
BU.350.620 (X2),Information Systems,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,I. Bojanova
BU.350.620 (X3),Information Systems,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,M. Vogel
BU.350.710 (T1),IT and Global Sourcing Strategy,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,R. Djavanshir
BU.350.710 (T2),IT and Global Sourcing Strategy,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,R. Djavanshir
BU.410.601 (31),Marketing Research,Spring 2021,Online,,Open,T. Chen
BU.410.601 (81),Marketing Research,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Open,R. Mislavsky
BU.410.601 (K3),Marketing Research,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,R. Mislavsky
BU.410.601 (K4),Marketing Research,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,R. Mislavsky
BU.410.620 (30),Marketing Management,Spring 2021,Online,,Open,F. Katz
BU.410.620 (31),Marketing Management,Spring 2021,Online,,Open,F. Katz
BU.410.620 (35),Marketing Management,Spring 2021,Online,,Waitlist Only,N. Li
BU.410.620 (36),Marketing Management,Spring 2021,Online,,Waitlist Only,N. Li
BU.410.620 (37),Marketing Management,Spring 2021,Online,,Open,N. Li
BU.410.620 (38),Marketing Management,Spring 2021,Online,,Open,J. Le Bon
BU.410.620 (39),Marketing Management,Spring 2021,Online,,Open,J. Le Bon
BU.410.620 (52),Marketing Management,Spring 2021,Washington DC Center,T 6:00PM - 9:00PM,Open,S. Long-Tolbert
BU.410.620 (83),Marketing Management,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,J. Le Bon
BU.410.620 (K1),Marketing Management,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Open,C. Harris
BU.410.620 (K2),Marketing Management,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Reserved Open,C. Harris
BU.410.620 (X1),Marketing Management,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,J. Liu
BU.410.620 (X2),Marketing Management,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,J. Liu
BU.410.620 (X3),Marketing Management,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,J. Liu
BU.420.710 (K2),Consumer Behavior,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,S. Long-Tolbert
BU.420.710 (K3),Consumer Behavior,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,S. Long-Tolbert
BU.420.720 (31),Customer Relationship Management,Spring 2021,Online,,Open,J. Le Bon
BU.420.720 (83),Customer Relationship Management,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,C. Harris
BU.420.720 (K2),Customer Relationship Management,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,C. Harris
BU.420.720 (K4),Customer Relationship Management,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Open,C. Harris
BU.420.730 (81),Advanced Behavioral Marketing,Spring 2021,Downtown Baltimore,Th 6:00PM - 9:00PM,Open,M. Zhu
BU.420.730 (K4),Advanced Behavioral Marketing,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,M. Zhu
BU.430.710 (31),Branding and Marketing Communications,Spring 2021,Online,,Open,F. Katz
BU.430.710 (K4),Branding and Marketing Communications,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,S. Long-Tolbert
BU.430.720 (K4),Pricing Analysis,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,J. Ni
BU.450.710 (K1),Marketing Strategy,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,H. Yang
BU.450.710 (K2),Marketing Strategy,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,H. Yang
BU.450.710 (K3),Marketing Strategy,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,H. Yang
BU.450.730 (51),Design Leadership,Spring 2021,Washington DC Center,W 6:00PM - 9:00PM,Open,S. Long-Tolbert
BU.450.740 (31),Retail Analytics,Spring 2021,Online,,Open,C. Chambers
BU.450.740 (K2),Retail Analytics,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,M. Nishida
BU.450.740 (K4),Retail Analytics,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Open,M. Nishida
BU.450.740 (K8),Retail Analytics,Spring 2021,Off site (Not JHU),,Open,Dept. Faculty
BU.450.740 (X4),Retail Analytics,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,M. Nishida
BU.450.750 (31),Strategic Market Intelligence,Spring 2021,Online,,Open,S. Singh
BU.450.750 (K4),Strategic Market Intelligence,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,S. Singh
BU.450.760 (K3),Customer Analytics,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,M. Hermosilla
BU.450.760 (K4),Customer Analytics,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,M. Hermosilla
BU.450.765 (31),Social Media Analytics,Spring 2021,Online,,Open,T. Chen
BU.450.765 (81),Social Media Analytics,Spring 2021,Downtown Baltimore,T 6:00PM - 9:00PM,Open,T. Chen
BU.450.765 (K4),Social Media Analytics,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Waitlist Only,T. Chen
BU.460.730 (K2),New Product Development,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,T. Chen
BU.510.001 (01),Statistical Analysis Waiver Exam,Spring 2021,Off site (Not JHU),,Open,B. Robeson
BU.510.601 (30),Statistical Analysis,Spring 2021,Online,,Open,S. Munshaw
BU.510.601 (31),Statistical Analysis,Spring 2021,Online,,Open,C. Cheng
BU.510.601 (32),Statistical Analysis,Spring 2021,Online,,Open,C. Cheng
BU.510.601 (33),Statistical Analysis,Spring 2021,Online,,Open,S. Urban
BU.510.601 (36),Statistical Analysis,Spring 2021,Online,,Open,S. Munshaw
BU.510.601 (37),Statistical Analysis,Spring 2021,Online,,Open,S. Munshaw
BU.510.601 (38),Statistical Analysis,Spring 2021,Online,,Open,S. Munshaw
BU.510.601 (39),Statistical Analysis,Spring 2021,Online,,Open,C. Cheng
BU.510.601 (52),Statistical Analysis,Spring 2021,Washington DC Center,W 6:00PM - 9:00PM,Open,R. Frye
BU.510.601 (82),Statistical Analysis,Spring 2021,Downtown Baltimore,T 6:00PM - 9:00PM,Open,R. Frye
BU.510.601 (F1),Statistical Analysis,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,D. Prieto Santa
BU.510.601 (F2),Statistical Analysis,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,D. Prieto Santa
BU.510.601 (K1),Statistical Analysis,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Waitlist Only,B. Robeson
BU.510.601 (K2),Statistical Analysis,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Reserved Open,D. Prieto Santa
BU.510.601 (T2),Statistical Analysis,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,X. Hu
BU.510.601 (W1),Statistical Analysis,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Waitlist Only,X. Hu
BU.510.601 (W2),Statistical Analysis,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,X. Hu
BU.510.601 (X1),Statistical Analysis,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,N. Turken
BU.510.601 (X2),Statistical Analysis,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,N. Turken
BU.510.615 (81),Python for Data Analysis,Spring 2021,Downtown Baltimore,M 1:30PM - 4:30PM,Open,N. Nikandish
BU.510.615 (82),Python for Data Analysis,Spring 2021,Downtown Baltimore,W 1:30PM - 4:30PM,Open,N. Nikandish
BU.510.650 (32),Data Analytics,Spring 2021,Online,,Open,A. Bisi
BU.510.650 (81),Data Analytics,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,A. Bisi
BU.510.650 (K1),Data Analytics,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Waitlist Only,D. Prieto Santa
BU.510.650 (K2),Data Analytics,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,D. Prieto Santa
BU.510.650 (T1),Data Analytics,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,A. Bisi
BU.510.650 (X2),Data Analytics,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,R. Wang
BU.510.650 (X3),Data Analytics,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,R. Wang
BU.520.601 (34),Business Analytics,Spring 2021,Online,,Waitlist Only,R. Djavanshir
BU.520.601 (35),Business Analytics,Spring 2021,Online,,Open,R. Djavanshir
BU.520.601 (36),Business Analytics,Spring 2021,Online,,Open,R. Djavanshir
BU.520.601 (37),Business Analytics,Spring 2021,Online,,Waitlist Only,N. Turken
BU.520.601 (38),Business Analytics,Spring 2021,Online,,Open,N. Turken
BU.520.601 (82),Business Analytics,Spring 2021,Downtown Baltimore,Th 6:00PM - 9:00PM,Open,E. Kagan
BU.520.601 (K3),Business Analytics,Spring 2021,Downtown Baltimore,F 8:30AM - 11:30AM,Open,B. Hathaway
BU.520.601 (K4),Business Analytics,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,B. Hathaway
BU.520.601 (T2),Business Analytics,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,B. Hathaway
BU.520.601 (X1),Business Analytics,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,N. Turken
BU.520.601 (X2),Business Analytics,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,B. Hathaway
BU.520.620 (81),Advanced Business Analytics,Spring 2021,Downtown Baltimore,T 6:00PM - 9:00PM,Open,A. Fattahi
BU.520.620 (X4),Advanced Business Analytics,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Waitlist Only,A. Fattahi
BU.520.710 (31),Big Data Machine Learning,Spring 2021,Online,,Open,J. Liew; A. Wood
BU.520.710 (F3),Big Data Machine Learning,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Open,T. Leitch
BU.520.710 (F4),Big Data Machine Learning,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Waitlist Only,T. Leitch
BU.520.710 (X4),Big Data Machine Learning,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Waitlist Only,J. Liew
BU.550.620 (31),The U.S. Health Care System: Past; Present; and Future,Spring 2021,Online,,Open,T. Gordon
BU.550.620 (32),The U.S. Health Care System: Past; Present; and Future,Spring 2021,Online,,Open,T. Gordon
BU.610.615 (81),Simulation for Business Applications,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Open,N. Nikandish
BU.610.615 (T1),Simulation for Business Applications,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,N. Nikandish
BU.610.615 (X4),Simulation for Business Applications,Spring 2021,Washington DC Center,T 8:30AM - 11:30AM,Open,N. Nikandish
BU.610.705 (31),Crisis Management,Spring 2021,Online,,Open,F. Klapetzky; J. Links
BU.610.760 (X2),Supply Chain Analytics,Spring 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,G. Aydin
BU.610.760 (X4),Supply Chain Analytics,Spring 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,G. Aydin
BU.680.620 (34),Operations Management,Spring 2021,Online,,Waitlist Only,C. Chambers
BU.680.620 (35),Operations Management,Spring 2021,Online,,Waitlist Only,C. Chambers
BU.680.620 (52),Operations Management,Spring 2021,Washington DC Center,T 6:00PM - 9:00PM,Open,A. Bisi
BU.680.620 (82),Operations Management,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,T. Dai
BU.680.620 (X3),Operations Management,Spring 2021,Washington DC Center,M 8:30AM - 11:30AM,Open,A. Bisi
BU.680.620 (X4),Operations Management,Spring 2021,Washington DC Center,F 8:30AM - 11:30AM,Waitlist Only,A. Bisi
BU.881.701 (81),Fundamentals of Health Care Systems,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Reserved Open,T. Gordon
BU.881.702 (33),Frameworks for Analyzing Health Care Markets,Spring 2021,Online,,Open,F. Selck
BU.881.702 (34),Frameworks for Analyzing Health Care Markets,Spring 2021,Online,,Open,F. Selck
BU.881.703 (32),Health Care Law and Regulation,Spring 2021,Online,,Waitlist Only,S. Lee
BU.881.703 (33),Health Care Law and Regulation,Spring 2021,Online,,Waitlist Only,S. Lee
BU.881.703 (H1),Health Care Law and Regulation,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Reserved Open,S. Lee
BU.881.705 (81),Health Marketing and Access,Spring 2021,Downtown Baltimore,M 6:00PM - 9:00PM,Open,Y. Wu
BU.881.705 (H1),Health Marketing and Access,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Reserved Open,Y. Wu
BU.881.707 (H1),Accounting for Decision Making in Health Care,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Reserved Open,D. Tong
BU.883.703 (31),Medical Devices and Diagnostics,Spring 2021,Online,,Open,Y. Lee; N. Louie
BU.883.703 (81),Medical Devices and Diagnostics,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Reserved Open,Y. Lee; N. Louie
BU.883.704 (32),Pharmaceutical Strategy,Spring 2021,Online,,Open,S. Munshaw
BU.883.704 (81),Pharmaceutical Strategy,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Reserved Open,S. Munshaw
BU.883.705 (31),Health Care Financing and Financial Management,Spring 2021,Online,,Open,E. Simeonova
BU.883.705 (32),Health Care Financing and Financial Management,Spring 2021,Online,,Open,E. Simeonova
BU.883.705 (81),Health Care Financing and Financial Management,Spring 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Reserved Open,B. Miller
BU.883.707 (31),The Wire: Business Solutions for Community Health Improvement,Spring 2021,Online,,Open,T. Gordon
BU.883.707 (81),The Wire: Business Solutions for Community Health Improvement,Spring 2021,Downtown Baltimore,Th 6:00PM - 9:00PM,Reserved Open,T. Gordon
BU.883.708 (32),Negotiation in Health Care Settings,Spring 2021,Online,,Waitlist Only,S. Lee
BU.883.708 (81),Negotiation in Health Care Settings,Spring 2021,Downtown Baltimore,T 6:00PM - 9:00PM,Reserved Open,S. Lee
BU.890.713 (31),Health Care Strategy Consulting Practicum I,Spring 2021,Online,,Waitlist Only,B. Robeson
BU.890.714 (31),Health Care Strategy Consulting Practicum II,Spring 2021,Online,,Waitlist Only,B. Robeson
BU.920.604 (M1),Finance,Spring 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,X. Sun
BU.920.604 (M2),Finance,Spring 2021,Downtown Baltimore,T 1:30PM - 4:30PM,Open,X. Sun
BU.920.606 (M1),Operations Management,Spring 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,T. Dai
BU.920.606 (M2),Operations Management,Spring 2021,Downtown Baltimore,M 1:30PM - 4:30PM,Open,T. Dai
BU.920.607 (M1),Competitive Strategy,Spring 2021,Downtown Baltimore,TTh 8:30AM - 11:30AM,Open,I. Fainmesser
BU.920.607 (M2),Competitive Strategy,Spring 2021,Downtown Baltimore,TTh 1:30PM - 4:30PM,Open,I. Fainmesser
BU.920.623 (M1),Data Science: Big Data Consulting Project,Spring 2021,Downtown Baltimore,W 8:30AM - 11:30AM,Open,G. Aydin; C. Stuart
BU.920.623 (M2),Data Science: Big Data Consulting Project,Spring 2021,Downtown Baltimore,W 1:30PM - 4:30PM,Open,G. Aydin; C. Stuart
BU.920.632 (M1),Behavioral Science: Design Thinking,Spring 2021,Downtown Baltimore,ThF 9:00AM - 5:00PM,Open,D. Piccinini Black
BU.920.632 (M2),Behavioral Science: Design Thinking,Spring 2021,Downtown Baltimore,ThF 9:00AM - 5:00PM,Open,D. Piccinini Black
BU.920.722 (M1),Business Law; Health Law; and Regulations,Spring 2021,Downtown Baltimore,Th 8:30AM - 11:30AM,Open,S. Lee
BU.920.816 (M1),Innovation Field Project,Spring 2021,Downtown Baltimore,M 8:30AM - 4:30PM,Open,O. Sahin; C. Stuart
BU.930.631 (G1),Experiences in Leadership,Spring 2021,Downtown Baltimore,Th 1:30PM - 4:30PM,Open,C. Stuart
BU.932.610 (G1),Ethical Leadership,Spring 2021,Downtown Baltimore,T 1:30PM - 4:30PM,Open,J. Habash
BU.210.620 (31),Accounting and Financial Reporting,Spring 2022,Online,,Open,J. Rippy
BU.210.620 (32),Accounting and Financial Reporting,Spring 2022,Online,,Open,J. Rippy
BU.210.620 (33),Accounting and Financial Reporting,Spring 2022,Online,,Open,J. Rippy
BU.210.620 (52),Accounting and Financial Reporting,Spring 2022,Washington DC Center,T 6:00PM - 9:00PM,Open,S. Demirkan
BU.210.620 (36),Accounting and Financial Reporting,Spring 2022,Online,,Waitlist Only,X. Sun
BU.210.620 (37),Accounting and Financial Reporting,Spring 2022,Online,,Waitlist Only,X. Sun
BU.210.001 (01),Accounting and Financial Reporting Waiver Exam,Spring 2022,Online,,Open,X. Sun
BU.881.707 (H1),Accounting for Decision Making in Health Care,Spring 2022,Downtown Baltimore,T 8:30AM - 11:30AM,Open,D. Tong
BU.420.730 (81),Advanced Behavioral Marketing,Spring 2022,Downtown Baltimore,W 8:30AM - 11:30AM,Open,M. Zhu
BU.420.730 (82),Advanced Behavioral Marketing,Spring 2022,Downtown Baltimore,W 1:30PM - 4:30PM,Open,M. Zhu
BU.420.730 (83),Advanced Behavioral Marketing,Spring 2022,Downtown Baltimore,W 6:00PM - 9:00PM,Waitlist Only,M. Zhu
BU.520.620 (31),Advanced Business Analytics,Spring 2022,Online,,Open,A. Fattahi
BU.520.620 (X2),Advanced Business Analytics,Spring 2022,Washington DC Center,T 8:30AM - 11:30AM,Open,A. Fattahi
BU.520.620 (X3),Advanced Business Analytics,Spring 2022,Washington DC Center,T 1:30PM - 4:30PM,Open,A. Fattahi
BU.520.620 (X4),Advanced Business Analytics,Spring 2022,Washington DC Center,M 1:30PM - 4:30PM,Open,A. Fattahi
BU.520.620 (X6),Advanced Business Analytics,Spring 2022,Washington DC Center,M 8:30AM - 11:30AM,Open,A. Fattahi
BU.520.620 (X1),Advanced Business Analytics,Spring 2022,Washington DC Center,W 8:30AM - 11:30AM,Waitlist Only,N. Turken
BU.231.790 (82),Advanced Corporate Finance,Spring 2022,Downtown Baltimore,W 6:00PM - 9:00PM,Open,S. Chan
BU.920.814 (M1),Advising Project Teams,Spring 2022,Downtown Baltimore,W 1:30PM - 4:30PM,Open,C. Stuart
BU.330.750 (T1),AI: Principles and Business Applications,Spring 2022,Washington DC Center,W 6:00PM - 9:00PM,Waitlist Only,J. Abed
BU.555.710 (81),Applied and Behavioral Economics in Health Care,Spring 2022,Downtown Baltimore,M 6:00PM - 9:00PM,Open,B. Delarmente
BU.920.815 (M1),Applied Behavioral Strategy for Organizational and Social Impact,Spring 2022,Downtown Baltimore,T 1:30PM - 4:30PM,Open,M. Macis
BU.330.790 (T1),Applied IS Architecture,Spring 2022,Washington DC Center,M 6:00PM - 9:00PM,Open,M. Vogel
BU.330.790 (T2),Applied IS Architecture,Spring 2022,Washington DC Center,T 6:00PM - 9:00PM,Waitlist Only,M. Vogel
BU.920.632 (M1),Behavioral Science: Design Thinking,Spring 2022,Downtown Baltimore,W 8:00AM - 5:00PM; W 8:00AM - 5:00PM,Open,A. Pianesi
BU.920.632 (M2),Behavioral Science: Design Thinking,Spring 2022,Downtown Baltimore,F 8:00AM - 5:00PM; F 8:00AM - 5:00PM,Open,A. Pianesi
BU.920.634 (M1),Behavioral Science: Leading Change,Spring 2022,Downtown Baltimore,T 8:30AM - 11:30AM,Open,M. Barton
BU.920.634 (M2),Behavioral Science: Leading Change,Spring 2022,Downtown Baltimore,M 1:30PM - 4:30PM,Open,M. Barton
BU.520.710 (31),Big Data Machine Learning,Spring 2022,Online,,Waitlist Only,G. Warren
BU.520.710 (51),Big Data Machine Learning,Spring 2022,Washington DC Center,F 8:30AM - 11:30AM,Open,G. Warren
BU.520.710 (52),Big Data Machine Learning,Spring 2022,Washington DC Center,F 8:30AM - 11:30AM,Reserved Open,G. Warren
BU.520.710 (53),Big Data Machine Learning,Spring 2022,Washington DC Center,F 1:30PM - 4:30PM,Reserved Open,G. Warren
BU.520.710 (54),Big Data Machine Learning,Spring 2022,Washington DC Center,F 1:30PM - 4:30PM,Open,G. Warren
BU.520.710 (55),Big Data Machine Learning,Spring 2022,Washington DC Center,W 8:30AM - 11:30AM,Open,G. Warren
BU.520.710 (82),Big Data Machine Learning,Spring 2022,Downtown Baltimore,M 8:30AM - 11:30AM,Reserved Open,G. Warren
BU.520.710 (83),Big Data Machine Learning,Spring 2022,Downtown Baltimore,M 1:30PM - 4:30PM,Waitlist Only,G. Warren
